Date,Confirmed,Recovered,Deceased
14-Mar-20,6,0,1
15-Mar-20,0,0,0
16-Mar-20,1,0,0
17-Mar-20,2,0,0
18-Mar-20,5,0,0
19-Mar-20,1,0,0
20-Mar-20,0,1,0
21-Mar-20,5,0,0
22-Mar-20,6,0,0
23-Mar-20,7,1,0
24-Mar-20,8,1,0
25-Mar-20,10,0,0
26-Mar-20,4,0,1
27-Mar-20,9,2,1
28-Mar-20,17,0,0
29-Mar-20,2,0,0
30-Mar-20,5,1,0
31-Mar-20,13,2,0
01-Apr-20,9,1,0
02-Apr-20,14,2,0
03-Apr-20,4,0,1
04-Apr-20,16,0,0
05-Apr-20,7,1,0
06-Apr-20,12,8,0
07-Apr-20,12,5,0
08-Apr-20,6,3,1
09-Apr-20,16,2,1
10-Apr-20,10,4,0
11-Apr-20,8,5,0
12-Apr-20,17,15,0
13-Apr-20,15,6,2
14-Apr-20,13,11,2
15-Apr-20,19,9,2
16-Apr-20,36,2,1
17-Apr-20,44,6,0
18-Apr-20,25,16,1
19-Apr-20,6,7,2
20-Apr-20,18,1,0
21-Apr-20,10,17,1
22-Apr-20,9,2,0
23-Apr-20,18,14,0
24-Apr-20,29,7,1
25-Apr-20,26,6,0
26-Apr-20,3,24,1
27-Apr-20,9,11,1
28-Apr-20,11,14,0
29-Apr-20,12,9,1
30-Apr-20,30,13,1
01-May-20,24,22,0
02-May-20,12,20,3
03-May-20,13,22,0
04-May-20,37,28,2
05-May-20,22,10,2
06-May-20,20,23,0
07-May-20,12,12,1
08-May-20,48,10,0
09-May-20,41,10,0
10-May-20,54,36,1
11-May-20,14,4,0
12-May-20,63,7,0
13-May-20,34,18,2
14-May-20,28,9,2
15-May-20,69,20,1
16-May-20,36,16,0
17-May-20,55,13,1
18-May-20,99,21,0
19-May-20,149,13,3
20-May-20,67,13,1
21-May-20,143,15,0
22-May-20,138,26,0
23-May-20,216,11,1
24-May-20,130,46,0
25-May-20,93,51,2
26-May-20,101,59,0
27-May-20,135,17,3
28-May-20,115,53,0
29-May-20,248,60,1
30-May-20,141,103,1
31-May-20,299,221,2
01-Jun-20,187,100,1
02-Jun-20,388,75,0
03-Jun-20,267,111,1
04-Jun-20,257,106,4
05-Jun-20,515,83,0
06-Jun-20,378,280,2
07-Jun-20,239,159,2
08-Jun-20,308,309,3
09-Jun-20,161,164,2
10-Jun-20,120,257,3
11-Jun-20,204,114,3
12-Jun-20,271,464,7
13-Jun-20,308,208,3
14-Jun-20,176,312,5
15-Jun-20,213,174,2
16-Jun-20,317,322,7
17-Jun-20,204,348,8
18-Jun-20,210,176,12
19-Jun-20,337,230,9
20-Jun-20,416,183,9
21-Jun-20,453,226,5
22-Jun-20,249,111,5
23-Jun-20,322,274,8
24-Jun-20,397,149,14
25-Jun-20,442,519,6
26-Jun-20,445,246,10
27-Jun-20,918,371,11
28-Jun-20,1267,220,16
29-Jun-20,1105,176,19
30-Jun-20,947,235,20
01-Jul-20,1272,145,7
02-Jul-20,1502,271,19
03-Jul-20,1694,471,21
04-Jul-20,1839,439,42
05-Jul-20,1925,603,37
06-Jul-20,1843,680,30
