Date,Confirmed,Predicted_Confirmed,Recovered,Predicted_Recovered,Deceased,Predicted_Deceased
2020-06-12,271,223.87145421707692,464,244.63028404297899,7,3.8047472304867287
2020-06-13,308,281.3192206136746,208,164.18092290392818,3,1.6571723562911573
2020-06-14,176,355.99619690621836,312,192.3560991829632,5,2.48211948154058
2020-06-15,213,228.7172723182849,174,260.6344016860397,2,2.469403498116215
2020-06-16,317,407.783613922558,322,239.59065820940108,7,4.000248539193229
2020-06-17,204,215.7487631898977,348,309.177627464692,8,2.1473190554471464
2020-06-18,210,315.1369164416712,176,318.9851933940248,12,3.0192523679597505
2020-06-19,337,276.8690913862312,230,287.3407684933593,9,3.009930242081601
2020-06-20,416,314.0522748424434,183,215.700357741009,9,4.346765841318491
2020-06-21,453,468.07671936596427,226,289.7117623938054,5,2.4151086605471357
2020-06-22,249,498.0356936285455,111,253.98880587196166,5,3.274487511416556
2020-06-23,322,306.28530747994745,274,251.4656077053029,8,3.264258564684063
2020-06-24,397,507.3520192421816,149,389.54306635994215,14,4.652932464536443
2020-06-25,442,253.98426573839973,519,314.4039980429918,6,2.742310909590577
2020-06-26,445,367.11210363611747,246,427.3666677439397,10,3.6050442464610506
2020-06-27,918,332.9665689581949,371,355.6943998979104,11,3.59505759748276
2020-06-28,1267,368.94857095826654,220,389.5743470528051,16,4.969880576548944
2020-06-29,1105,589.8631266157959,176,280.260461043982,19,3.053638413220136
2020-06-30,947,590.2228323775253,235,384.1274347507394,20,3.915475449106061
2020-07-01,1272,352.0728643808412,145,324.84461337007184,7,3.905424059444525
2020-07-02,1502,571.1521585286531,271,338.51361816735715,19,5.283947931563676
2020-07-03,1694,272.760449587518,471,440.21394522227865,21,3.36920756517956
2020-07-04,1839,397.3648971153301,439,393.2607321707812,42,4.231284087965908
2020-07-05,1925,365.1912640037788,603,483.63229321666506,37,4.221249996673813
2020-07-06,1843,401.3343874400109,680,454.2633181046571,30,5.5987850096693785
