Date,Future_Predicted_Confirmed,Future_Predicted_Recovered,Future_Predicted_Decreased
2020-06-12,252.32820459119603,137.3562271186415,9.982729189556144
2020-06-13,243.72155063042183,123.89077399042601,12.628342239185155
2020-06-14,228.99501340848443,142.17037364442336,8.52990873296582
2020-06-15,304.3579244165516,150.87005973244717,9.67898383372406
2020-06-16,288.46985547509416,171.26901787399038,12.964852351256845
2020-06-17,269.41366555125944,220.53477562582282,9.404271579282671
2020-06-18,343.9782713677437,203.31280521622756,10.410450287878984
2020-06-19,343.98624901760763,232.56786078450168,13.092511470588413
2020-06-20,343.06558035412473,293.84694020756666,10.960464002659467
2020-06-21,413.1570170049001,283.804088942064,12.120110057545276
2020-06-22,405.48657273575606,296.4752844490982,15.382458189411345
2020-06-23,394.1237450005257,341.90352029954283,11.404033260804907
2020-06-24,475.721875345577,338.38912602648765,12.577385081604621
2020-06-25,469.80660636387,367.6468536479307,15.783044946344551
2020-06-26,461.6229151033819,430.1405251158677,12.783066295725913
2020-06-27,543.8624977721322,420.86430426379286,13.985810380425256
2020-06-28,541.7951737366275,446.99908309993964,17.251709240509953
2020-06-29,537.5861064316667,508.0303349773304,13.864351765265289
2020-06-30,622.8145549418255,504.59226540652253,15.142865780454
2020-07-01,619.4052790323667,532.5246100930187,18.62654380924466
2020-07-02,613.3427583987849,596.0444110454843,14.985470209705767
2020-07-03,704.1750382233844,593.0388106476163,16.289173714830326
2020-07-04,702.8151382048222,626.3440570504029,19.787801034550995
2020-07-05,699.3003352783611,696.3368856149084,16.34552392174998
2020-07-06,792.9328227689947,694.2837417611379,17.705427930302093
