Date,Confirmed,Predicted_Confirmed,Recovered,Predicted_Recovered,Decreased,Predicted_Decreased
2020-06-12,476,480.03624651077104,218,195.5578735612304,9,12.44307951357489
2020-06-13,454,511.2758468450617,336,187.54126460726116,12,11.089552112091322
2020-06-14,389,500.67720666074064,518,193.74777429396752,12,12.579283002709314
2020-06-15,407,514.9066210883924,434,199.03774430314152,10,11.412722382684723
2020-06-16,415,521.3600340194017,534,213.28194708306668,10,12.853136074307573
2020-06-17,391,469.1833785745541,505,251.56916251964776,11,11.6944569620395
2020-06-18,435,486.8850032480435,468,240.96053543394268,12,13.132589776915275
2020-06-19,355,543.296845094526,302,228.95911522466645,11,11.97426213991077
2020-06-20,441,565.4447400718886,562,203.1691809451305,11,13.412291434770076
2020-06-21,414,604.4975999886791,432,239.73379386961372,15,12.253979643653452
2020-06-22,413,598.7766784998706,390,246.49069618725838,14,13.69200425618032
2020-06-23,370,607.6625563022205,531,234.21224521794136,11,12.533693180910522
2020-06-24,445,602.4994472523067,484,262.6309315740181,11,13.971717581783047
2020-06-25,475,568.4151293070368,488,262.08899064169333,15,12.813406538864157
2020-06-26,542,564.9836943652488,345,290.3382888978701,10,14.251430930170434
2020-06-27,521,643.1516874007652,254,274.67176199249155,13,13.093119888713666
2020-06-28,572,666.0508064793212,404,267.1502109243686,10,14.531144279587577
2020-06-29,624,714.2560522046676,526,268.32692737979096,14,13.372833238196892
2020-06-30,652,691.1088620401483,411,293.4159022680384,15,14.810857629051265
2020-07-01,611,715.4852926327916,398,297.02756660684963,15,13.652546587663563
2020-07-02,649,715.3771208010768,509,284.7491156375326,16,15.090570978517052
2020-07-03,669,693.8527285347725,534,313.1678019936093,18,13.932259937129489
2020-07-04,743,692.24180394341,595,312.62586106128447,19,15.370284327982938
2020-07-05,895,763.1138638940089,545,340.87515931746134,21,14.211973286595379
2020-07-06,861,783.6020341663698,524,325.20863241208286,22,15.649997677448827
