Date,Confirmed,Recovered,Decreased
14-Mar-20,0,0,0
15-Mar-20,0,0,0
16-Mar-20,0,0,0
17-Mar-20,1,0,0
18-Mar-20,0,0,0
19-Mar-20,0,0,0
20-Mar-20,1,0,0
21-Mar-20,2,0,0
22-Mar-20,3,0,0
23-Mar-20,0,0,1
24-Mar-20,2,0,0
25-Mar-20,0,0,0
26-Mar-20,1,0,0
27-Mar-20,5,0,0
28-Mar-20,3,0,0
29-Mar-20,3,0,0
30-Mar-20,1,0,1
31-Mar-20,15,3,1
01-Apr-20,0,0,0
02-Apr-20,16,0,0
03-Apr-20,0,0,0
04-Apr-20,0,0,0
05-Apr-20,27,7,0
06-Apr-20,0,0,0
07-Apr-20,11,3,0
08-Apr-20,8,0,2
09-Apr-20,4,3,0
10-Apr-20,13,0,0
11-Apr-20,10,0,0
12-Apr-20,8,3,2
13-Apr-20,18,10,0
14-Apr-20,38,7,0
15-Apr-20,23,1,0
16-Apr-20,18,5,3
17-Apr-20,24,9,0
18-Apr-20,32,4,2
19-Apr-20,23,7,0
20-Apr-20,29,4,0
21-Apr-20,53,7,3
22-Apr-20,31,0,0
23-Apr-20,33,6,0
24-Apr-20,58,24,3
25-Apr-20,57,0,0
26-Apr-20,40,2,2
27-Apr-20,38,0,0
28-Apr-20,48,4,2
29-Apr-20,28,10,0
30-Apr-20,33,5,11
01-May-20,37,15,8
02-May-20,127,12,7
03-May-20,276,-19,74
04-May-20,61,86,11
05-May-20,85,46,7
06-May-20,112,1,4
07-May-20,92,31,7
08-May-20,130,27,9
09-May-20,108,49,11
10-May-20,153,45,14
11-May-20,124,82,5
12-May-20,110,113,8
13-May-20,117,90,9
14-May-20,87,66,8
15-May-20,84,61,10
16-May-20,115,63,7
17-May-20,101,67,6
18-May-20,147,47,6
19-May-20,137,68,6
20-May-20,142,62,3
21-May-20,94,57,6
22-May-20,135,28,6
23-May-20,127,60,4
24-May-20,208,58,3
25-May-20,149,75,6
26-May-20,193,72,5
27-May-20,183,92,6
28-May-20,344,90,6
29-May-20,277,107,7
30-May-20,317,195,7
31-May-20,371,187,8
01-Jun-20,271,149,8
02-Jun-20,396,104,10
03-Jun-20,340,170,10
04-Jun-20,368,188,10
05-Jun-20,427,144,11
06-Jun-20,435,207,17
07-Jun-20,449,184,13
08-Jun-20,426,162,9
09-Jun-20,372,155,10
10-Jun-20,343,159,17
11-Jun-20,440,209,10
12-Jun-20,476,218,9
13-Jun-20,454,336,12
14-Jun-20,389,518,12
15-Jun-20,407,434,10
16-Jun-20,415,534,10
17-Jun-20,391,505,11
18-Jun-20,435,468,12
19-Jun-20,355,302,11
20-Jun-20,441,562,11
21-Jun-20,414,432,15
22-Jun-20,413,390,14
23-Jun-20,370,531,11
24-Jun-20,445,484,11
25-Jun-20,475,488,15
26-Jun-20,542,345,10
27-Jun-20,521,254,13
28-Jun-20,572,404,10
29-Jun-20,624,526,14
30-Jun-20,652,411,15
01-Jul-20,611,398,15
02-Jul-20,649,509,16
03-Jul-20,669,534,18
04-Jul-20,743,595,19
05-Jul-20,895,545,21
06-Jul-20,861,524,22
